id,adresse,postcode,city
"C201400097152","","85660","Saint-Philbert-de-Bouaine"
"C201400097157","","85000","La Roche-sur-Yon"
"C201400097175","","85290","Saint-Laurent-sur-Sèvre"
"C201400097185","","85400","Luçon"
"C201400097247","","85160","Saint-Jean-de-Monts"
"C201400097243","","85700","Pouzauges"
"C2014000513436","","85000","La Roche-sur-Yon"
"C2014000513440","","85210","Sainte-Hermine"
"C2014000513449","","85120","La Chapelle-aux-Lys"
"C2014000513460","","85300","Sallertaine"
"C2014000513464","","85270","Saint-Hilaire-de-Riez"
"C2014000513474","","85250","Saint-Fulgent"
"C201400109665","","85500","Saint-Paul-en-Pareds"
"C2014001211149","","85000","La Roche-sur-Yon"
"C2014001211166","","85000","La Roche-sur-Yon"
"C2014001211177","","85680","La Guérinière"
"C2014001211181","","85350","L'Ile-d'Yeu"
"C2014001211187","","85600","Treize-Septiers"
"C2014001211195","","85100","Château-d'Olonne"
"C2014001211200","","85000","La Roche-sur-Yon"
"C2014001211204","","85350","L'Ile-d'Yeu"
"C2014001211213","","85420","Le Mazeau"
"C2014001211220","","85710","Bois-de-Céné"
"C2014001211226","","85300","Challans"
"C2014001211221","","85000","La Roche-sur-Yon"
"C2014001211250","","85000","Mouilleron-le-Captif"
"C2014001211246","","85460","La Faute-sur-Mer"
"C2014001211283","","85210","Sainte-Hermine"
"C2014001211301","","85560","Longeville-sur-Mer"
"C2014001211330","","85100","Les Sables-d'Olonne"
"C2014001211329","","85310","La Chaize-le-Vicomte"
"C2014001211337","","85200","Fontenay-le-Comte"
"C2014001211327","","85250","Saint-André-Goule-d'Oie"
"C2014001211349","","85210","Sainte-Hermine"
"C2014001211386","","85600","Boufféré"
"C2014001211402","","85620","Rocheservière"
"C2014001211409","","85770","Velluire"
"C2014001211418","","85100","Les Sables-d'Olonne"
"C2014001211425","","85300","Challans"
"C2014001211429","","85120","Saint-Pierre-du-Chemin"
"C2014001211426","","85400","Sainte-Gemme-la-Plaine"
"C2014001211449","","85300","Challans"
"C2014001211454","","85400","Sainte-Gemme-la-Plaine"
"C2014001211478","","85300","Challans"
"B201302141419","","",""
"B201302141414","","",""
"B201302141415","","",""
"B201302141446","","85360","La Tranche-sur-Mer"
"B201302161661","","85330","Noirmoutier-en-l'Ile"
"B201302173256","","",""
"C2014005612172","","85500","Les Herbiers"
"C2014005612182","","85370","Nalliers"
"C2014005612194","","85700","Saint-Mesmin"
"C2014005612207","","85200","Bourneau"
"C2014005612222","","85000","La Roche-sur-Yon"
"C2014005612244","","85120","La Châtaigneraie"
"C2014005612271","","85150","Vairé"
"C2014005612288","","85600","Montaigu"
"C2014005612307","","85300","Challans"
"C2014005612299","","85260","La Copechagnière"
"C2014005612345","","85170","Belleville-sur-Vie"
"C2014005612365","","85120","Saint-Pierre-du-Chemin"
"C2014005612370","","85000","La Roche-sur-Yon"
"C201400597805","","85600","La Guyonnière"
"C201400597794","","85200","Fontenay-le-Comte"
"C201400597853","","85200","Fontenay-le-Comte"
"C201400597884","","85500","Les Herbiers"
"C201400597881","","85560","Longeville-sur-Mer"
"C201400597911","","85100","Les Sables-d'Olonne"
"C201400597909","","85600","Treize-Septiers"
"C201400597937","","85560","Longeville-sur-Mer"
"C201400597955","","85440","Avrillé"
"C201400597943","","85290","Mortagne-sur-Sèvre"
"C201400597956","","85190","Aizenay"
"C201400598000","","85800","Saint-Gilles-Croix-de-Vie Cedex"
"C2014000111263","","85670","Saint-Christophe-du-Ligneron"
"C2014000111284","","85180","Château-d'Olonne"
"C2014000111311","","85250","Saint-Fulgent"
"C2014000111308","","85180","Château-d'Olonne"
"C2014000111317","","85230","Bouin"
"C2014000111349","","85470","Bretignolles-sur-Mer"
"C2014000310282","","85000","La Roche-sur-Yon"
"C2014000310288","","85320","Mareuil-sur-Lay-Dissais"
"C2014000310311","","85220","Coëx"
